lat,lon,date,time,timestamp,distance_km
-6.8626089,107.6060329,2023-10-14,02:10:27.399000,37.037,0.0258
-6.8623768,107.6061315,2023-10-14,02:10:35.399000,45.045,0.0538
-6.8621484,107.6062055,2023-10-14,02:10:40.399000,50.05,0.0805
-6.8618814,107.6063021,2023-10-14,02:10:45.399000,55.055,0.112
-6.8616583,107.6063795,2023-10-14,02:10:49.399000,59.059,0.1382
-6.8614176,107.6064409,2023-10-14,02:10:53.399000,63.063,0.1658
-6.861199,107.6065421,2023-10-14,02:10:57.399000,67.067,0.1926
-6.8609677,107.6066985,2023-10-14,02:11:02.399000,72.072,0.2236
-6.8607807,107.6068386,2023-10-14,02:11:06.399000,76.076,0.2495
-6.8605656,107.6070208,2023-10-14,02:11:10.399000,80.08,0.2808
-6.8603332,107.6072094,2023-10-14,02:11:14.399000,84.084,0.314
-6.8601305,107.6073653,2023-10-14,02:11:18.399000,88.088,0.3424
-6.8599586,107.6075154,2023-10-14,02:11:22.399000,92.092,0.36769999999999997
-6.8597683,107.6076905,2023-10-14,02:11:27.399000,97.097,0.3964
-6.8595787,107.6078179,2023-10-14,02:11:39.499000,109.109,0.42169999999999996
-6.8593741,107.6079656,2023-10-14,02:11:45.499000,115.115,0.4497
-6.8592037,107.6081277,2023-10-14,02:11:50.499000,120.12,0.4758
-6.8590011,107.6082837,2023-10-14,02:11:55.499000,125.125,0.5042
-6.8587789,107.608392,2023-10-14,02:12:00.499000,130.13,0.5316
-6.8585483,107.6085318,2023-10-14,02:12:04.499000,134.134,0.5615
-6.8583101,107.6086174,2023-10-14,02:12:08.499000,138.138,0.5896
-6.8580671,107.6086901,2023-10-14,02:12:12.499000,142.142,0.6178
-6.8578168,107.6087876,2023-10-14,02:12:16.499000,146.146,0.6476000000000001
-6.8575862,107.6088984,2023-10-14,02:12:20.499000,150.15,0.676
-6.8573939,107.6090458,2023-10-14,02:12:24.499000,154.154,0.7029000000000001
-6.8572198,107.6091984,2023-10-14,02:12:28.499000,158.158,0.7286000000000001
-6.8570518,107.6094025,2023-10-14,02:12:33.499000,163.163,0.7579000000000001
-6.8568972,107.6095884,2023-10-14,02:12:39.499000,169.169,0.7847000000000002
-6.8568047,107.609812,2023-10-14,02:12:49.499000,179.179,0.8114000000000001
-6.856971,107.6099697,2023-10-14,02:13:04.599000,194.194,0.8368000000000001
-6.8569323,107.6102051,2023-10-14,02:13:11.599000,201.201,0.8631000000000001
-6.856831,107.6104074,2023-10-14,02:13:16.599000,206.206,0.8881000000000001
-6.856697,107.6106343,2023-10-14,02:13:21.599000,211.211,0.9172000000000001
-6.8565654,107.6108282,2023-10-14,02:13:25.599000,215.215,0.9431000000000002
-6.8564358,107.6110203,2023-10-14,02:13:30.599000,220.22,0.9687000000000001
-6.856305,107.6112091,2023-10-14,02:13:35.599000,225.225,0.9941000000000001
-6.8561822,107.6114072,2023-10-14,02:13:40.599000,230.23,1.0199
-6.8560493,107.6115937,2023-10-14,02:13:48.599000,238.238,1.0452000000000001
