lat,lon,date,time,distance
-6.867548,107.6059483,2023-10-14,02:05:45.499000,0.03
-6.8674807,107.6059469,2023-10-14,02:05:46.499000,0.07
-6.8674225,107.605953,2023-10-14,02:05:47.499000,0.11000000000000001
-6.8673588,107.6059546,2023-10-14,02:05:48.499000,0.16000000000000003
-6.8672916,107.6059523,2023-10-14,02:05:49.499000,0.22000000000000003
-6.8672311,107.6059495,2023-10-14,02:05:50.499000,0.28
-6.8671638,107.6059639,2023-10-14,02:05:51.499000,0.35000000000000003
-6.8670887,107.6059751,2023-10-14,02:05:52.499000,0.43000000000000005
-6.8670308,107.6059871,2023-10-14,02:05:53.499000,0.52
-6.8669586,107.6060092,2023-10-14,02:05:54.499000,0.61
-6.8669056,107.6060193,2023-10-14,02:05:55.499000,0.71
-6.8668792,107.6060271,2023-10-14,02:05:56.499000,0.8099999999999999
-6.8668188,107.6060348,2023-10-14,02:05:57.499000,0.9199999999999999
-6.86676,107.6060462,2023-10-14,02:05:58.499000,1.04
-6.8667113,107.6060577,2023-10-14,02:05:59.499000,1.1600000000000001
-6.8666707,107.6060679,2023-10-14,02:06:00.499000,1.29
-6.8666403,107.6060773,2023-10-14,02:06:01.499000,1.42
-6.8666019,107.6060923,2023-10-14,02:06:02.499000,1.5499999999999998
-6.8665653,107.6061009,2023-10-14,02:06:03.499000,1.69
-6.8665342,107.6061027,2023-10-14,02:06:04.499000,1.83
-6.8665271,107.6061091,2023-10-14,02:06:05.499000,1.9700000000000002
-6.8664818,107.6061003,2023-10-14,02:06:06.499000,2.12
-6.8664173,107.60608,2023-10-14,02:06:07.499000,2.27
-6.8663545,107.6060456,2023-10-14,02:06:08.499000,2.43
-6.8662919,107.6060005,2023-10-14,02:06:09.499000,2.6
-6.8662255,107.6059468,2023-10-14,02:06:10.499000,2.7800000000000002
-6.8661746,107.6058962,2023-10-14,02:06:11.499000,2.9600000000000004
-6.8661131,107.6058431,2023-10-14,02:06:12.499000,3.1500000000000004
-6.8660659,107.6057962,2023-10-14,02:06:13.499000,3.3400000000000003
-6.8660236,107.6057538,2023-10-14,02:06:14.499000,3.5400000000000005
-6.8659708,107.6057174,2023-10-14,02:06:15.499000,3.7500000000000004
-6.8659109,107.6056874,2023-10-14,02:06:16.499000,3.9600000000000004
-6.8658557,107.6056688,2023-10-14,02:06:17.499000,4.180000000000001
-6.8657954,107.6056578,2023-10-14,02:06:18.499000,4.410000000000001
-6.8657299,107.6056502,2023-10-14,02:06:19.499000,4.6400000000000015
-6.8656625,107.6056457,2023-10-14,02:06:20.499000,4.880000000000002
-6.8655949,107.6056389,2023-10-14,02:06:21.499000,5.130000000000002
-6.8655352,107.6056325,2023-10-14,02:06:22.499000,5.3900000000000015
-6.8654786,107.6056243,2023-10-14,02:06:23.499000,5.650000000000001
-6.8654312,107.6056149,2023-10-14,02:06:24.499000,5.920000000000002
-6.8653821,107.6056066,2023-10-14,02:06:25.499000,6.190000000000001
-6.8653356,107.6055955,2023-10-14,02:06:26.499000,6.4700000000000015
-6.8652892,107.6055833,2023-10-14,02:06:27.499000,6.750000000000002
-6.8652374,107.6055695,2023-10-14,02:06:28.499000,7.040000000000002
-6.865183,107.6055505,2023-10-14,02:06:29.499000,7.340000000000002
-6.865126,107.6055315,2023-10-14,02:06:30.499000,7.6400000000000015
-6.865062,107.605513,2023-10-14,02:06:31.499000,7.950000000000001
-6.8649994,107.6054962,2023-10-14,02:06:32.499000,8.270000000000001
-6.8649343,107.6054779,2023-10-14,02:06:33.499000,8.590000000000002
-6.8648689,107.6054572,2023-10-14,02:06:34.499000,8.920000000000002
-6.8648041,107.6054347,2023-10-14,02:06:35.499000,9.260000000000002
-6.8647417,107.6054115,2023-10-14,02:06:36.499000,9.610000000000001
-6.8646811,107.6053904,2023-10-14,02:06:37.499000,9.96
-6.8646222,107.6053708,2023-10-14,02:06:38.499000,10.32
-6.8645607,107.6053506,2023-10-14,02:06:39.499000,10.69
-6.8645149,107.6053358,2023-10-14,02:06:40.499000,11.059999999999999
-6.8644683,107.6053202,2023-10-14,02:06:41.499000,11.44
-6.8644219,107.6053056,2023-10-14,02:06:42.499000,11.82
-6.8643807,107.605301,2023-10-14,02:06:43.499000,12.21
-6.8643452,107.6053041,2023-10-14,02:06:44.499000,12.600000000000001
-6.8643085,107.6053144,2023-10-14,02:06:45.499000,13.000000000000002
-6.8642833,107.6053255,2023-10-14,02:06:46.499000,13.400000000000002
-6.86426,107.6053412,2023-10-14,02:06:47.499000,13.800000000000002
-6.8642415,107.6053542,2023-10-14,02:06:48.599000,14.200000000000003
-6.8642347,107.6053353,2023-10-14,02:06:49.599000,14.600000000000003
-6.8642212,107.6053588,2023-10-14,02:06:50.599000,15.000000000000004
-6.8642064,107.6053755,2023-10-14,02:06:51.599000,15.410000000000004
-6.8641839,107.6053845,2023-10-14,02:06:52.599000,15.820000000000004
-6.8641616,107.6053887,2023-10-14,02:06:53.599000,16.230000000000004
-6.8641342,107.6054025,2023-10-14,02:06:54.599000,16.640000000000004
-6.8641034,107.6054355,2023-10-14,02:06:55.599000,17.060000000000006
-6.8640682,107.6054614,2023-10-14,02:06:56.599000,17.480000000000008
-6.8640344,107.6054888,2023-10-14,02:06:57.599000,17.90000000000001
-6.8639982,107.6054971,2023-10-14,02:06:58.599000,18.33000000000001
-6.8639636,107.6055199,2023-10-14,02:06:59.599000,18.76000000000001
-6.8639241,107.6055421,2023-10-14,02:07:00.599000,19.19000000000001
-6.863884,107.6055603,2023-10-14,02:07:01.599000,19.63000000000001
-6.8638302,107.6055804,2023-10-14,02:07:02.599000,20.07000000000001
-6.8637705,107.6055965,2023-10-14,02:07:03.599000,20.52000000000001
-6.8637099,107.6056089,2023-10-14,02:07:04.599000,20.98000000000001
-6.8636599,107.6056248,2023-10-14,02:07:05.599000,21.440000000000012
-6.8636003,107.605642,2023-10-14,02:07:06.599000,21.91000000000001
-6.8635706,107.6056456,2023-10-14,02:07:07.599000,22.38000000000001
-6.8635253,107.6056532,2023-10-14,02:07:08.599000,22.86000000000001
-6.8634911,107.6056574,2023-10-14,02:07:09.599000,23.34000000000001
-6.8634477,107.6056658,2023-10-14,02:07:10.599000,23.83000000000001
-6.8633997,107.6056777,2023-10-14,02:07:11.599000,24.320000000000007
-6.8633501,107.6056921,2023-10-14,02:07:12.599000,24.820000000000007
-6.8633101,107.6057035,2023-10-14,02:07:13.599000,25.320000000000007
-6.8632644,107.6057192,2023-10-14,02:07:14.599000,25.83000000000001
-6.8632182,107.6057403,2023-10-14,02:07:15.599000,26.34000000000001
-6.8631783,107.6057641,2023-10-14,02:07:16.599000,26.850000000000012
-6.8631414,107.6057893,2023-10-14,02:07:17.599000,27.37000000000001
-6.8631133,107.6058143,2023-10-14,02:07:18.599000,27.89000000000001
-6.8630913,107.6058243,2023-10-14,02:07:19.599000,28.41000000000001
-6.8630821,107.6058259,2023-10-14,02:07:20.599000,28.93000000000001
-6.8630771,107.6058269,2023-10-14,02:07:21.599000,29.46000000000001
-6.8630682,107.6058336,2023-10-14,02:07:22.599000,29.990000000000013
-6.8630583,107.6058355,2023-10-14,02:07:23.599000,30.520000000000014
-6.8630505,107.6058369,2023-10-14,02:07:24.599000,31.050000000000015
-6.8630483,107.6058366,2023-10-14,02:07:25.599000,31.580000000000016
-6.8630436,107.6058386,2023-10-14,02:07:26.599000,32.110000000000014
-6.8630399,107.6058411,2023-10-14,02:07:27.599000,32.640000000000015
-6.8630414,107.6058405,2023-10-14,02:07:28.599000,33.170000000000016
-6.8630322,107.605841,2023-10-14,02:07:29.599000,33.70000000000002
-6.8630283,107.605843,2023-10-14,02:07:30.599000,34.23000000000002
-6.8630224,107.6058443,2023-10-14,02:07:31.599000,34.76000000000002
-6.8630045,107.6058395,2023-10-14,02:07:32.599000,35.29000000000002
-6.8629956,107.6058417,2023-10-14,02:07:33.599000,35.82000000000002
-6.8629857,107.6058407,2023-10-14,02:07:34.599000,36.36000000000002
