lat,lon,ele,time,timestamp
-6.8678,107.606,N/A,N/A,N/A
-6.867691,107.605951,847.634,2023-10-14T02:05:42.099Z,0
-6.8676208,107.605948,847.871,2023-10-14T02:05:44.499Z,1.001
-6.867548,107.6059483,848.001,2023-10-14T02:05:45.499Z,2.002
-6.8674807,107.6059469,847.653,2023-10-14T02:05:46.499Z,3.003
-6.8674225,107.605953,846.559,2023-10-14T02:05:47.499Z,4.004
-6.8673588,107.6059546,847.105,2023-10-14T02:05:48.499Z,5.005
-6.8672916,107.6059523,849.135,2023-10-14T02:05:49.499Z,6.006
-6.8672311,107.6059495,851.146,2023-10-14T02:05:50.499Z,7.007
-6.8671638,107.6059639,853.053,2023-10-14T02:05:51.499Z,8.008
-6.8670887,107.6059751,856.91,2023-10-14T02:05:52.499Z,9.009
-6.8670308,107.6059871,857.466,2023-10-14T02:05:53.499Z,10.01
-6.8669586,107.6060092,857.472,2023-10-14T02:05:54.499Z,11.011
-6.8669056,107.6060193,856.184,2023-10-14T02:05:55.499Z,12.012
-6.8668792,107.6060271,852.22,2023-10-14T02:05:56.499Z,13.013
-6.8668188,107.6060348,851.771,2023-10-14T02:05:57.499Z,14.014
-6.86676,107.6060462,850.583,2023-10-14T02:05:58.499Z,15.015
-6.8667113,107.6060577,848.986,2023-10-14T02:05:59.499Z,16.016
-6.8666707,107.6060679,845.34,2023-10-14T02:06:00.499Z,17.017
-6.8666403,107.6060773,839.779,2023-10-14T02:06:01.499Z,18.018
-6.8666019,107.6060923,835.442,2023-10-14T02:06:02.499Z,19.019
-6.8665653,107.6061009,833.624,2023-10-14T02:06:03.499Z,20.02
-6.8665342,107.6061027,827.76,2023-10-14T02:06:04.499Z,21.021
-6.8665271,107.6061091,821.632,2023-10-14T02:06:05.499Z,22.022
-6.8664818,107.6061003,820.136,2023-10-14T02:06:06.499Z,23.023
-6.8664173,107.60608,822.951,2023-10-14T02:06:07.499Z,24.024
-6.8663545,107.6060456,825.126,2023-10-14T02:06:08.499Z,25.025
-6.8662919,107.6060005,828.688,2023-10-14T02:06:09.499Z,26.026
-6.8662255,107.6059468,834.524,2023-10-14T02:06:10.499Z,27.027
-6.8661746,107.6058962,837.801,2023-10-14T02:06:11.499Z,28.028
-6.8661131,107.6058431,842.277,2023-10-14T02:06:12.499Z,29.029
-6.8660659,107.6057962,844.288,2023-10-14T02:06:13.499Z,30.03
-6.8660236,107.6057538,845.023,2023-10-14T02:06:14.499Z,31.031
-6.8659708,107.6057174,846.901,2023-10-14T02:06:15.499Z,32.032
-6.8659109,107.6056874,849.001,2023-10-14T02:06:16.499Z,33.033
-6.8658557,107.6056688,849.961,2023-10-14T02:06:17.499Z,34.034
-6.8657954,107.6056578,851.097,2023-10-14T02:06:18.499Z,35.035
-6.8657299,107.6056502,852.474,2023-10-14T02:06:19.499Z,36.036
-6.8656625,107.6056457,854.061,2023-10-14T02:06:20.499Z,37.037
-6.8655949,107.6056389,855.595,2023-10-14T02:06:21.499Z,38.038
-6.8655352,107.6056325,856.138,2023-10-14T02:06:22.499Z,39.039
-6.8654786,107.6056243,857.075,2023-10-14T02:06:23.499Z,40.04
-6.8654312,107.6056149,857.359,2023-10-14T02:06:24.499Z,41.041
-6.8653821,107.6056066,857.776,2023-10-14T02:06:25.499Z,42.042
-6.8653356,107.6055955,858.194,2023-10-14T02:06:26.499Z,43.043
-6.8652892,107.6055833,858.679,2023-10-14T02:06:27.499Z,44.044
-6.8652374,107.6055695,859.662,2023-10-14T02:06:28.499Z,45.045
-6.865183,107.6055505,860.656,2023-10-14T02:06:29.499Z,46.046
-6.865126,107.6055315,861.443,2023-10-14T02:06:30.499Z,47.047
-6.865062,107.605513,862.591,2023-10-14T02:06:31.499Z,48.048
-6.8649994,107.6054962,863.321,2023-10-14T02:06:32.499Z,49.049
-6.8649343,107.6054779,863.892,2023-10-14T02:06:33.499Z,50.05
-6.8648689,107.6054572,864.613,2023-10-14T02:06:34.499Z,51.051
-6.8648041,107.6054347,865.333,2023-10-14T02:06:35.499Z,52.052
-6.8647417,107.6054115,866.026,2023-10-14T02:06:36.499Z,53.053
-6.8646811,107.6053904,866.831,2023-10-14T02:06:37.499Z,54.054
-6.8646222,107.6053708,867.775,2023-10-14T02:06:38.499Z,55.055
-6.8645607,107.6053506,868.867,2023-10-14T02:06:39.499Z,56.056
-6.8645149,107.6053358,869.455,2023-10-14T02:06:40.499Z,57.057
-6.8644683,107.6053202,869.78,2023-10-14T02:06:41.499Z,58.058
-6.8644219,107.6053056,869.923,2023-10-14T02:06:42.499Z,59.059
-6.8643807,107.605301,870.486,2023-10-14T02:06:43.499Z,60.06
-6.8643452,107.6053041,871.086,2023-10-14T02:06:44.499Z,61.061
-6.8643085,107.6053144,871.011,2023-10-14T02:06:45.499Z,62.062
-6.8642833,107.6053255,871.153,2023-10-14T02:06:46.499Z,63.063
-6.86426,107.6053412,870.118,2023-10-14T02:06:47.499Z,64.064
-6.8642415,107.6053542,868.392,2023-10-14T02:06:48.599Z,65.065
-6.8642347,107.6053353,865.523,2023-10-14T02:06:49.599Z,66.066
-6.8642212,107.6053588,863.497,2023-10-14T02:06:50.599Z,67.067
-6.8642064,107.6053755,861.869,2023-10-14T02:06:51.599Z,68.068
-6.8641839,107.6053845,860.991,2023-10-14T02:06:52.599Z,69.069
-6.8641616,107.6053887,860.353,2023-10-14T02:06:53.599Z,70.07
-6.8641342,107.6054025,859.957,2023-10-14T02:06:54.599Z,71.071
-6.8641034,107.6054355,860.455,2023-10-14T02:06:55.599Z,72.072
-6.8640682,107.6054614,860.239,2023-10-14T02:06:56.599Z,73.073
-6.8640344,107.6054888,859.552,2023-10-14T02:06:57.599Z,74.074
-6.8639982,107.6054971,858.546,2023-10-14T02:06:58.599Z,75.075
-6.8639636,107.6055199,857.938,2023-10-14T02:06:59.599Z,76.076
-6.8639241,107.6055421,857.44,2023-10-14T02:07:00.599Z,77.077
-6.863884,107.6055603,856.904,2023-10-14T02:07:01.599Z,78.078
-6.8638302,107.6055804,857.754,2023-10-14T02:07:02.599Z,79.079
-6.8637705,107.6055965,859.297,2023-10-14T02:07:03.599Z,80.08
-6.8637099,107.6056089,861.353,2023-10-14T02:07:04.599Z,81.081
-6.8636599,107.6056248,861.167,2023-10-14T02:07:05.599Z,82.082
-6.8636003,107.605642,861.405,2023-10-14T02:07:06.599Z,83.083
-6.8635706,107.6056456,858.525,2023-10-14T02:07:07.599Z,84.084
-6.8635253,107.6056532,858.795,2023-10-14T02:07:08.599Z,85.085
-6.8634911,107.6056574,859.44,2023-10-14T02:07:09.599Z,86.086
-6.8634477,107.6056658,859.911,2023-10-14T02:07:10.599Z,87.087
-6.8633997,107.6056777,860.852,2023-10-14T02:07:11.599Z,88.088
-6.8633501,107.6056921,861.619,2023-10-14T02:07:12.599Z,89.089
-6.8633101,107.6057035,861.248,2023-10-14T02:07:13.599Z,90.09
-6.8632644,107.6057192,861.628,2023-10-14T02:07:14.599Z,91.091
-6.8632182,107.6057403,861.699,2023-10-14T02:07:15.599Z,92.092
-6.8631783,107.6057641,860.955,2023-10-14T02:07:16.599Z,93.093
-6.8631414,107.6057893,859.867,2023-10-14T02:07:17.599Z,94.094
-6.8631133,107.6058143,858.301,2023-10-14T02:07:18.599Z,95.095
-6.8630913,107.6058243,857.898,2023-10-14T02:07:19.599Z,96.096
-6.8630821,107.6058259,857.609,2023-10-14T02:07:20.599Z,97.097
-6.8630771,107.6058269,857.491,2023-10-14T02:07:21.599Z,98.098
-6.8630682,107.6058336,857.727,2023-10-14T02:07:22.599Z,99.099
-6.8630583,107.6058355,859.069,2023-10-14T02:07:23.599Z,100.1
-6.8630505,107.6058369,860.583,2023-10-14T02:07:24.599Z,101.101
